id,foundation_name,tweet,tweet_date,tweeted_by_foundation,query_term,handle_type,region,tweet_pp,Topic,Count,Name,prediction,probability,input
1511170975676911617,aapp_burma,rt a new flash report by nd burma member details the illegal confiscation of households buildings by the junta fro ,2022-04-05,True,@aapp_burma,Org,Myanmar, a new flash repo by nd burma member details the illegal confiscation of households buildings by the junta fro ,0,95,0_myanmar_burma_military_myanmars,I-group,0.9954788684844971,burma
1511170975676911617,aapp_burma,rt a new flash report by nd burma member details the illegal confiscation of households buildings by the junta fro ,2022-04-05,True,@aapp_burma,Org,Myanmar, a new flash repo by nd burma member details the illegal confiscation of households buildings by the junta fro ,0,95,0_myanmar_burma_military_myanmars,B-group,0.9999072551727295,the
1511170975676911617,aapp_burma,rt a new flash report by nd burma member details the illegal confiscation of households buildings by the junta fro ,2022-04-05,True,@aapp_burma,Org,Myanmar, a new flash repo by nd burma member details the illegal confiscation of households buildings by the junta fro ,0,95,0_myanmar_burma_military_myanmars,I-group,0.9999769926071167,junta
1511441598030270474,NUGMyanmar,rt is deeply concerned about china s recent effort to establish a partnership with myanmar s illegitimate and g ,2022-04-05,True,@NUGMyanmar,Govt,Myanmar, is deeply concerned about china s recent effo to establish a panership with myanmar s illegitimate and g ,0,95,0_myanmar_burma_military_myanmars,B-location,0.9999827146530151,about
1511441598030270474,NUGMyanmar,rt is deeply concerned about china s recent effort to establish a partnership with myanmar s illegitimate and g ,2022-04-05,True,@NUGMyanmar,Govt,Myanmar, is deeply concerned about china s recent effo to establish a panership with myanmar s illegitimate and g ,0,95,0_myanmar_burma_military_myanmars,I-location,0.999980092048645,china
1511388284492079118,cvdom2021,rt myanmar s democratically elected government which actually represents the people of myanmar has e ,2022-04-05,True,@cvdom2021,Movement,Myanmar, myanmar s democratically elected government which actually represents the people of myanmar has e ,0,95,0_myanmar_burma_military_myanmars,B-location,0.9997161030769348,
1511388284492079118,cvdom2021,rt myanmar s democratically elected government which actually represents the people of myanmar has e ,2022-04-05,True,@cvdom2021,Movement,Myanmar, myanmar s democratically elected government which actually represents the people of myanmar has e ,0,95,0_myanmar_burma_military_myanmars,I-location,0.9998897314071655,myanmar
1511388284492079118,cvdom2021,rt myanmar s democratically elected government which actually represents the people of myanmar has e ,2022-04-05,True,@cvdom2021,Movement,Myanmar, myanmar s democratically elected government which actually represents the people of myanmar has e ,0,95,0_myanmar_burma_military_myanmars,B-location,0.9999792575836182,of
1511388284492079118,cvdom2021,rt myanmar s democratically elected government which actually represents the people of myanmar has e ,2022-04-05,True,@cvdom2021,Movement,Myanmar, myanmar s democratically elected government which actually represents the people of myanmar has e ,0,95,0_myanmar_burma_military_myanmars,I-location,0.999958872795105,myanmar
1511243115494928384,cvdom2021,rt china please work with engaging with genocidal sac junta that have committed many crimes against myanmar peopl ,2022-04-05,True,@cvdom2021,Movement,Myanmar, china please work with engaging with genocidal sac junta that have committed many crimes against myanmar peopl ,0,95,0_myanmar_burma_military_myanmars,B-location,0.999984622001648,
1511243115494928384,cvdom2021,rt china please work with engaging with genocidal sac junta that have committed many crimes against myanmar peopl ,2022-04-05,True,@cvdom2021,Movement,Myanmar, china please work with engaging with genocidal sac junta that have committed many crimes against myanmar peopl ,0,95,0_myanmar_burma_military_myanmars,I-location,0.9999829530715942,china
1511546989967814664,Anfrel, here are the incidents and developments in myanmar that the asian network for free elections monitored from 28 march 3 april 2022  know more here ,2022-04-06,True,@Anfrel,Org,Asia, here are the incidents and developments in myanmar that the asian network for free elections monitored from 28 march 3 april 2022  know more here ,1,65,1_elections_asian_free_here,B-location,0.9999734163284302,in
1511546989967814664,Anfrel, here are the incidents and developments in myanmar that the asian network for free elections monitored from 28 march 3 april 2022  know more here ,2022-04-06,True,@Anfrel,Org,Asia, here are the incidents and developments in myanmar that the asian network for free elections monitored from 28 march 3 april 2022  know more here ,1,65,1_elections_asian_free_here,I-location,0.9999411106109619,myanmar
1511546989967814664,Anfrel, here are the incidents and developments in myanmar that the asian network for free elections monitored from 28 march 3 april 2022  know more here ,2022-04-06,True,@Anfrel,Org,Asia, here are the incidents and developments in myanmar that the asian network for free elections monitored from 28 march 3 april 2022  know more here ,1,65,1_elections_asian_free_here,B-location,0.9161417484283447,the
1511546989967814664,Anfrel, here are the incidents and developments in myanmar that the asian network for free elections monitored from 28 march 3 april 2022  know more here ,2022-04-06,True,@Anfrel,Org,Asia, here are the incidents and developments in myanmar that the asian network for free elections monitored from 28 march 3 april 2022  know more here ,1,65,1_elections_asian_free_here,I-location,0.9959178566932678,asian
1511531890603298821,Anfrel,icymi will be launching its report on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,2022-04-06,True,@Anfrel,Org,Asia,icymi will be launching its repo on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,4,28,4_2022_repo_observation_icymi,B-corporation,0.9998643398284912,icymi
1511531890603298821,Anfrel,icymi will be launching its report on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,2022-04-06,True,@Anfrel,Org,Asia,icymi will be launching its repo on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,4,28,4_2022_repo_observation_icymi,B-creative_work,0.824404239654541,documentary
1511531890603298821,Anfrel,icymi will be launching its report on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,2022-04-06,True,@Anfrel,Org,Asia,icymi will be launching its repo on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,4,28,4_2022_repo_observation_icymi,I-creative_work,0.9539644122123718,film
1511531890603298821,Anfrel,icymi will be launching its report on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,2022-04-06,True,@Anfrel,Org,Asia,icymi will be launching its repo on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,4,28,4_2022_repo_observation_icymi,B-creative_work,0.6504431366920471,revolution
1511531890603298821,Anfrel,icymi will be launching its report on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,2022-04-06,True,@Anfrel,Org,Asia,icymi will be launching its repo on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,4,28,4_2022_repo_observation_icymi,I-creative_work,0.994573175907135,of
1511531890603298821,Anfrel,icymi will be launching its report on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,2022-04-06,True,@Anfrel,Org,Asia,icymi will be launching its repo on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,4,28,4_2022_repo_observation_icymi,I-creative_work,0.9938886165618896,our
1511531890603298821,Anfrel,icymi will be launching its report on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,2022-04-06,True,@Anfrel,Org,Asia,icymi will be launching its repo on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,4,28,4_2022_repo_observation_icymi,I-creative_work,0.978986918926239,times
1511721417897050113,ChinHumanRights,disproportionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly disproportionate amount of rights violations by the junta since the coup documentation shows ,2022-04-06,True,@ChinHumanRights,Org,Myanmar,dispropoionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly dispropoionate amount of rights violations by the junta since the coup documentation shows ,0,95,0_myanmar_burma_military_myanmars,B-group,0.9830732345581055,chin
1511721417897050113,ChinHumanRights,disproportionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly disproportionate amount of rights violations by the junta since the coup documentation shows ,2022-04-06,True,@ChinHumanRights,Org,Myanmar,dispropoionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly dispropoionate amount of rights violations by the junta since the coup documentation shows ,0,95,0_myanmar_burma_military_myanmars,I-group,0.9952108263969421,people
1511721417897050113,ChinHumanRights,disproportionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly disproportionate amount of rights violations by the junta since the coup documentation shows ,2022-04-06,True,@ChinHumanRights,Org,Myanmar,dispropoionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly dispropoionate amount of rights violations by the junta since the coup documentation shows ,0,95,0_myanmar_burma_military_myanmars,B-location,0.9999692440032959,myanmar
1511721417897050113,ChinHumanRights,disproportionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly disproportionate amount of rights violations by the junta since the coup documentation shows ,2022-04-06,True,@ChinHumanRights,Org,Myanmar,dispropoionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly dispropoionate amount of rights violations by the junta since the coup documentation shows ,0,95,0_myanmar_burma_military_myanmars,I-location,0.9994364380836487,chin
1511721417897050113,ChinHumanRights,disproportionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly disproportionate amount of rights violations by the junta since the coup documentation shows ,2022-04-06,True,@ChinHumanRights,Org,Myanmar,dispropoionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly dispropoionate amount of rights violations by the junta since the coup documentation shows ,0,95,0_myanmar_burma_military_myanmars,I-location,0.9826338887214661,people
1511721417897050113,ChinHumanRights,disproportionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly disproportionate amount of rights violations by the junta since the coup documentation shows ,2022-04-06,True,@ChinHumanRights,Org,Myanmar,dispropoionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly dispropoionate amount of rights violations by the junta since the coup documentation shows ,0,95,0_myanmar_burma_military_myanmars,B-group,0.999853253364563,junta
1511561988304162820,ChinHumanRights,about 35 churches and 15 buildings associated with churches were destroyed in chin state and about 12 churches were destroyed in kayah state between february 2021 and january 2022 the irrawaddy reported citing ,2022-04-06,True,@ChinHumanRights,Org,Myanmar,about 35 churches and 15 buildings associated with churches were destroyed in chin state and about 12 churches were destroyed in kayah state between february 2021 and january 2022 the irrawaddy repoed citing ,0,95,0_myanmar_burma_military_myanmars,B-location,0.9999850988388062,chin
1511561988304162820,ChinHumanRights,about 35 churches and 15 buildings associated with churches were destroyed in chin state and about 12 churches were destroyed in kayah state between february 2021 and january 2022 the irrawaddy reported citing ,2022-04-06,True,@ChinHumanRights,Org,Myanmar,about 35 churches and 15 buildings associated with churches were destroyed in chin state and about 12 churches were destroyed in kayah state between february 2021 and january 2022 the irrawaddy repoed citing ,0,95,0_myanmar_burma_military_myanmars,I-location,0.9999823570251465,state
1511561988304162820,ChinHumanRights,about 35 churches and 15 buildings associated with churches were destroyed in chin state and about 12 churches were destroyed in kayah state between february 2021 and january 2022 the irrawaddy reported citing ,2022-04-06,True,@ChinHumanRights,Org,Myanmar,about 35 churches and 15 buildings associated with churches were destroyed in chin state and about 12 churches were destroyed in kayah state between february 2021 and january 2022 the irrawaddy repoed citing ,0,95,0_myanmar_burma_military_myanmars,B-location,0.9999849796295166,kayah
1511561988304162820,ChinHumanRights,about 35 churches and 15 buildings associated with churches were destroyed in chin state and about 12 churches were destroyed in kayah state between february 2021 and january 2022 the irrawaddy reported citing ,2022-04-06,True,@ChinHumanRights,Org,Myanmar,about 35 churches and 15 buildings associated with churches were destroyed in chin state and about 12 churches were destroyed in kayah state between february 2021 and january 2022 the irrawaddy repoed citing ,0,95,0_myanmar_burma_military_myanmars,I-location,0.9999847412109375,state
1512014645498114061,aapp_burma,rt life in insein prison after the coup in myanmar built to incarcerate around 5 000 people the prison has seen inmate number ,2022-04-07,True,@aapp_burma,Org,Myanmar, life in insein prison after the coup in myanmar built to incarcerate around 5 000 people the prison has seen inmate number ,-1,168,-1_people_at_to_in,B-location,0.9999116659164429,in
1512014645498114061,aapp_burma,rt life in insein prison after the coup in myanmar built to incarcerate around 5 000 people the prison has seen inmate number ,2022-04-07,True,@aapp_burma,Org,Myanmar, life in insein prison after the coup in myanmar built to incarcerate around 5 000 people the prison has seen inmate number ,-1,168,-1_people_at_to_in,I-location,0.9998939037322998,insein
1512014645498114061,aapp_burma,rt life in insein prison after the coup in myanmar built to incarcerate around 5 000 people the prison has seen inmate number ,2022-04-07,True,@aapp_burma,Org,Myanmar, life in insein prison after the coup in myanmar built to incarcerate around 5 000 people the prison has seen inmate number ,-1,168,-1_people_at_to_in,B-event,0.8203590512275696,the
1512014645498114061,aapp_burma,rt life in insein prison after the coup in myanmar built to incarcerate around 5 000 people the prison has seen inmate number ,2022-04-07,True,@aapp_burma,Org,Myanmar, life in insein prison after the coup in myanmar built to incarcerate around 5 000 people the prison has seen inmate number ,-1,168,-1_people_at_to_in,B-location,0.999984622001648,in
1512014645498114061,aapp_burma,rt life in insein prison after the coup in myanmar built to incarcerate around 5 000 people the prison has seen inmate number ,2022-04-07,True,@aapp_burma,Org,Myanmar, life in insein prison after the coup in myanmar built to incarcerate around 5 000 people the prison has seen inmate number ,-1,168,-1_people_at_to_in,I-location,0.9999866485595703,myanmar
1512018408287707136,NUGMyanmar,rt burma update had a discussion with on the importance of human rights justice for all victim ,2022-04-07,True,@NUGMyanmar,Govt,Myanmar, burma update had a discussion with on the impoance of human rights justice for all victim ,-1,168,-1_people_at_to_in,B-person,0.9994856119155884,
