id,query_term,handle,tweet,date,language
2147483647,ied AND bomb,HuntaKemone,"RT @Necksplitter: replacing any of the long term scooby doo voice actors is like a delicate bomb defusal

replacing all of them at once is…",2023-01-23,en
2147483647,ied AND bomb,Ellenlikemoon,"RT @rsmahdieh: 12 October 2016: Bomb Explosion 
A roadside IED targeted Ashura procession in Balkh district of Balkh province, killing 14 H…",2023-01-23,en
2147483647,ied AND bomb,Ellenlikemoon,RT @rsmahdieh: A car bomb IED went off at the gate of Sayed ul Shuhada HighSchool ( Hazara-populated school ) in Barchi of Kabul. Two more…,2023-01-23,en
2147483647,ied AND bomb,pictorial_poet,"RT @IndusPostNews: Two IEDs Found, Destroyed In Rajouri: Police
https://t.co/Bus8WHzx0T

#IED #rajouri #bomb #breaking #news #kashmir #JKPo…",2023-01-23,en
2147483647,ied AND bomb,vigneshkbabu,"RT @Ninja0179048354: IED fitted inside a bottle found in Rajouri. Army and bomb squad on spot.

I told you long back, as soon as Rahul Gand…",2023-01-23,en
2147483647,ied AND bomb,LiAli81842726,"RT @The_yaQubi: 12 October 2016: Bomb Explosion 
A roadside IED targeted Ashura procession in Balkh district of Balkh province, killing 14…",2023-01-23,en
2147483647,ied AND bomb,C0smicH0riz0n,RT @DesiEscobar07: IED fitted inside a bottle found in Rajouri. Army and bomb squad on spot.,2023-01-23,en
2147483647,ied AND bomb,Stokiyon1,RT @ANI: #WATCH | Bomb Disposal Squad neutralises IED detected on Bandipora-Sopore road between Badyara and Kanbathi villages in Bandipora…,2023-01-23,en
2147483647,ied AND bomb,Ravi73831128,"RT @Ekthi_MeenuD: IED fitted inside a bottle found in Rajouri. Army and bomb squad on spot.

I told you long back, as soon as Rahul Gandhi…",2023-01-23,en
2147483647,ied AND bomb,Necksplitter,"replacing any of the long term scooby doo voice actors is like a delicate bomb defusal

replacing all of them at once is like hitting a suspected ied with a sledgehammer https://t.co/H7nmpRDIyO",2023-01-23,en
2147483647,ied AND bomb,Dimpact14,RT @roli_H98: A car bomb IED went off at the gate of Sayed ul Shuhada HighSchool ( Hazara-populated school ) in Barchi of Kabul. Two more e…,2023-01-23,en
2147483647,ied AND bomb,SonuSin46705784,"RT @FatimaDar_jk: IED found on  NH1 at Kutta-mode in WussanKhui #Baramulla #North #Kashmir.

Swift action by SF bomb disposal squad led to…",2023-01-23,en
2147483647,ied AND bomb,IndusPostNews,"Two IEDs Found, Destroyed In Rajouri: Police
https://t.co/Bus8WHzx0T

#IED #rajouri #bomb #breaking #news #kashmir #JKPolice https://t.co/o4DXWsAnkj",2023-01-23,en
2147483647,ied AND bomb,arvindrbansal,"IED fitted inside a bottle found in Rajouri. Army and bomb squad on spot.

I told you long back, as soon as Rahul Gandhi enter J&amp;K these things will happen

Exact location is Budhal road near kotranka town. And Pappu is still in Jammu

-Dr Gaurav Pradhan",2023-01-23,en
2147483647,ied AND bomb,universalanish,"RT @vishalgthakkar: IED fitted inside a bottle found in Rajouri. Army and Bomb Squad on spot.

I told you long back, as soon as Rahul Gandh…",2023-01-23,en
2147483647,ied AND bomb,HaleshSingh,"IED fitted inside a bottle found in Rajouri. Army and bomb squad on spot.

I told you long back, as soon as Rahul Gandhi enter J&amp;K these things will happen

Exact location is Budhal road near kotranka town. And Pappu is still in Jammu",2023-01-23,en
